vulnerability_index,total_victim,sex,ethnic_group,classification,victimization_fact,commune,date_processing,year
7,70650,Femenino,Mestizo,Adulthood,Desplazamiento forzado,6,2021-07-29 00:00:00,2021
7,70650,Masculino,Mestizo,Childhood,Desplazamiento forzado,6,2017-10-13 00:00:00,2017
6,70650,Masculino,Otro,Adulthood,Desplazamiento forzado,15,2020-10-01 00:00:00,2020
9,70650,Femenino,Afrocolombiano,Childhood,Desplazamiento forzado,14,2012-06-28 00:00:00,2012
8,70650,Masculino,Afrodescendiente,Childhood,Desplazamiento forzado,15,2014-08-28 00:00:00,2014
7,70650,Femenino,Mestizo,Youth,Desplazamiento forzado,16,2021-08-23 00:00:00,2021
7,70650,Femenino,Otro,Adulthood,Desplazamiento forzado,13,2021-11-29 00:00:00,2021
7,70650,Masculino,Afrocolombiano,Youth,Homicidio,13,2013-06-15 00:00:00,2013
8,70650,Femenino,Moreno,Older adults,Desplazamiento forzado,15,2012-08-01 00:00:00,2012
8,70650,Femenino,Afrocolombiano,Adulthood,Desplazamiento forzado,21,2020-09-23 00:00:00,2020
7,70650,Masculino,Mestizo,Older adults,Desplazamiento forzado,12,2021-10-14 00:00:00,2021
8,70650,Femenino,Indigena,Youth,Desplazamiento forzado,21,2014-05-19 00:00:00,2014
7,70650,Masculino,Afrocolombiano,Youth,Desplazamiento forzado,21,2013-02-10 00:00:00,2013
8,70650,Femenino,Afrocolombiano,Adulthood,Desplazamiento forzado,14,2021-10-25 00:00:00,2021
7,70650,Masculino,Mestizo,Childhood,Desplazamiento forzado,20,2012-07-11 00:00:00,2012
9,70650,Femenino,Afrocolombiano,Childhood,Desplazamiento forzado,6,2017-03-03 00:00:00,2017
8,70650,Femenino,Afrocolombiano,Adulthood,Desplazamiento forzado,11,2021-11-22 00:00:00,2021
6,70650,Masculino,Moreno,Adulthood,Desplazamiento forzado,14,2013-11-25 00:00:00,2013
8,70650,Femenino,Mestizo,Childhood,Desplazamiento forzado,1,2012-07-23 00:00:00,2012
8,70650,Femenino,Afrodescendiente,Adulthood,Desplazamiento forzado,15,2019-11-01 00:00:00,2019
7,70650,Femenino,Mestizo,Youth,Desplazamiento forzado,18,2016-02-12 00:00:00,2016
8,70650,Femenino,Afrodescendiente,Youth,Desplazamiento forzado,13,2020-11-04 00:00:00,2020
7,70650,Masculino,Negro,Childhood,Desplazamiento forzado,18,2020-11-23 00:00:00,2020
7,70650,Femenino,Otro,Youth,Desplazamiento forzado,13,2012-07-12 00:00:00,2012
7,70650,Femenino,Mestizo,Youth,Desplazamiento forzado,10,2018-11-07 00:00:00,2018
8,70650,Femenino,Afrodescendiente,Youth,Desplazamiento forzado,18,2019-07-08 00:00:00,2019
7,70650,Masculino,Afrocolombiano,Adulthood,Desplazamiento forzado,15,2013-07-31 00:00:00,2013
8,70650,Femenino,Afrodescendiente,Youth,Desplazamiento forzado,15,2022-11-20 00:00:00,2022
8,70650,Femenino,Afrocolombiano,Youth,Desplazamiento forzado,16,2016-05-26 00:00:00,2016
7,70650,Masculino,Afrocolombiano,Adulthood,Desplazamiento forzado,21,2022-09-14 00:00:00,2022
7,70650,Femenino,Mestizo,Adulthood,Desplazamiento forzado,2,2021-10-28 00:00:00,2021
7,70650,Femenino,Mestizo,Youth,Desplazamiento forzado,6,2015-10-27 00:00:00,2015
6,70650,Masculino,Moreno,Youth,Desplazamiento forzado,13,2015-05-05 00:00:00,2015
7,70650,Femenino,Otro,Adulthood,Desplazamiento forzado,15,2013-07-05 00:00:00,2013
8,70650,Femenino,Negro,Childhood,Desplazamiento forzado,15,2013-08-03 00:00:00,2013
7,70650,Femenino,Mestizo,Adulthood,Desplazamiento forzado,18,2021-09-07 00:00:00,2021
9,70650,Femenino,Afrocolombiano,Childhood,Desplazamiento forzado,14,2012-08-10 00:00:00,2012
7,70650,Masculino,Afrodescendiente,Youth,Desplazamiento forzado,1,2021-10-12 00:00:00,2021
7,70650,Masculino,Afrocolombiano,Adulthood,Desplazamiento forzado,4,2022-11-08 00:00:00,2022
7,70650,Masculino,Mestizo,Older adults,Desplazamiento forzado,13,2019-08-26 00:00:00,2019
7,70650,Masculino,Afrocolombiano,Adulthood,Desplazamiento forzado,16,2022-08-16 00:00:00,2022
8,70650,Femenino,Indigena,Adulthood,Desplazamiento forzado,15,2012-11-30 00:00:00,2012
7,70650,Masculino,Mestizo,Childhood,Desplazamiento forzado,8,2013-10-24 00:00:00,2013
7,70650,Masculino,Mestizo,Childhood,Desplazamiento forzado,18,2012-11-28 00:00:00,2012
8,70650,Masculino,Afrocolombiano,Childhood,Desplazamiento forzado,12,2022-02-21 00:00:00,2022
