fecha_corte,nom_rpt,cod_pais,pais,cod_estado_depto,estado_depto,vigencia,param_hecho,hecho,sexo,etnia,discapacidad,ciclo_vital,per_ocu,per_llegada,eventos
2024-01-31,"REPORTE VICTIMAS DESPLAZAMIENTO ANUALIZADO OCURRENCIA Y LLEGADA, CIFRA DEPARTAMENTAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia, Llegada y Eventos)",48,COLOMBIA,13,Bolivar,2018,5,Desplazamiento forzado,Mujer,Indigena,Ninguna,entre 61 y 100,8,6,8
2023-12-31,"REPORTE VICTIMAS DESPLAZAMIENTO ANUALIZADO OCURRENCIA Y LLEGADA, CIFRA DEPARTAMENTAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia, Llegada y Eventos)",48,COLOMBIA,85,Casanare,2014,5,Desplazamiento forzado,Mujer,Indigena,Ninguna,entre 61 y 100,0,1,0
2024-02-29,"REPORTE VICTIMAS DESPLAZAMIENTO ANUALIZADO OCURRENCIA Y LLEGADA, CIFRA DEPARTAMENTAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia, Llegada y Eventos)",48,COLOMBIA,17,Caldas,2015,5,Desplazamiento forzado,Mujer,Ninguna,Por Establecer,entre 12 y 17,1,2,1
2023-12-31,"REPORTE VICTIMAS DESPLAZAMIENTO ANUALIZADO OCURRENCIA Y LLEGADA, CIFRA DEPARTAMENTAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia, Llegada y Eventos)",48,COLOMBIA,19,Cauca,2022,5,Desplazamiento forzado,Mujer,Indigena,Psicosocial (Mental),entre 29 y 60,1,1,1
2025-09-30,"REPORTE VICTIMAS DESPLAZAMIENTO ANUALIZADO OCURRENCIA Y LLEGADA, CIFRA DEPARTAMENTAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL)",48,COLOMBIA,27,Choco,2023,5,Desplazamiento forzado,Hombre,Ninguna,Ninguna,entre 12 y 17,153,17,157
2024-05-31,"REPORTE VICTIMAS DESPLAZAMIENTO ANUALIZADO OCURRENCIA Y LLEGADA, CIFRA DEPARTAMENTAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia, Llegada y Eventos)",48,COLOMBIA,18,Caqueta,2013,5,Desplazamiento forzado,Hombre,Indigena,Visual,entre 29 y 60,1,1,1
2024-05-31,"REPORTE VICTIMAS DESPLAZAMIENTO ANUALIZADO OCURRENCIA Y LLEGADA, CIFRA DEPARTAMENTAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia, Llegada y Eventos)",48,COLOMBIA,68,Santander,2012,5,Desplazamiento forzado,Hombre,Ninguna,Visual,entre 18 y 28,0,2,0
2025-02-28,"REPORTE VICTIMAS DESPLAZAMIENTO ANUALIZADO OCURRENCIA Y LLEGADA, CIFRA DEPARTAMENTAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL)",48,COLOMBIA,44,La Guajira,2018,5,Desplazamiento forzado,Mujer,Ninguna,Por Establecer,entre 29 y 59,1,1,1
2024-03-31,"REPORTE VICTIMAS DESPLAZAMIENTO ANUALIZADO OCURRENCIA Y LLEGADA, CIFRA DEPARTAMENTAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia, Llegada y Eventos)",48,COLOMBIA,15,Boyaca,2016,5,Desplazamiento forzado,Hombre,Ninguna,Ninguna,entre 12 y 17,49,69,50
2025-01-31,"REPORTE VICTIMAS DESPLAZAMIENTO ANUALIZADO OCURRENCIA Y LLEGADA, CIFRA DEPARTAMENTAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL)",48,COLOMBIA,8,Atlantico,2014,5,Desplazamiento forzado,Hombre,Ninguna,Fisica,entre 29 y 59,5,6,5
